store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Rimi","Tualet.popierius ZEWA Just1, 6 rit.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7226420_PCE_LT","5.14","10.29","true","","1,71 €/vnt.","-50%","","0,86 €/vnt."
"Rimi","Smulki jūros druska RIMI, 500g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_806991_PCE_LT","0.52","0.65","true","","1,30 €/kg","","","1,04 €/kg"
"Rimi","Saulėgrąžų aliejus RIMI, 1l","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_801707_PCE_LT","2.39","2.99","true","","2,99 €/l","","","2,39 €/l"
"Rimi","Virtos pien. dešrelės KAI NORISI MĖSOS,280g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_294374_PCE_LT","3.39","3.39","true","","12,11 €/kg","Įsidėk 2 už","","6,07 €/kg"
"Rimi","Smulkinta atšaldyta kiauliena RIMI, 20%, 500g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_807966_PCE_LT","1.99","2.79","false","","3,98 €/kg","","",""
"Rimi","Virtos GIMINIŲ dešrelės, a.r., 860g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/M_4770118409892_LT","4","7.99","true","","9,29 €/kg","","","4,65 €/kg"
"Rimi","Pop. rank. RIMI, 2 vnt., 3 sl. 100 lap.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816249_PCE_LT","1.34","2.69","true","","1,35 €/vnt.","-50%","","0,67 €/vnt."
"Rimi","Pop.rankšluosčiai ZEWA Jumbo Prem, 1vnt,3sl,2","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7232287_PCE_LT","3.19","6.39","true","","6,39 €/vnt.","-50%","","3,19 €/vnt."
"Rimi","ROKIŠKIO NAMINIS pienas, 2,5 % rieb., 2 l","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_287699_PCE_LT","2.49","2.79","false","","1,25 €/l","","",""
"Rimi","Bazilikų Pesto padažas SELECTION BY RIMI,130g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_803253_PCE_LT","1.59","2.29","true","","17,62 €/kg","","","12,23 €/kg"
